"Symbol","EndDate","Source","StateTypeCode","RDPerson","RDPersonRatio","RDSpendSum","RDSpendSumRatio"
"000100","2008-12-31","0","1","1840","4.6000","",""
"000100","2009-12-31","0","1","2117","4.6000","",""
"000100","2010-12-31","0","1","2643","5.1100","55326000.0000",""
"000100","2012-12-31","0","1","4720","","508577000.0000",""
"000100","2013-12-31","0","1","5719","","",""
"000100","2014-12-31","0","1","","","3070000000.0000",""
"000100","2015-12-31","0","1","6697","9.1100","3765835812.0000","3.6000"
"000100","2016-12-31","0","1","6800","8.5500","4265841901.0000","4.0100"
"000100","2017-12-31","0","1","7923","10.5600","4721201060.0000","4.2500"
"000100","2018-12-31","0","1","12481","16.6300","5670918950.0000","5.0000"
"000100","2019-12-31","0","1","6155","17.4000","5464281132.0000","7.2900"
"000100","2020-12-31","0","1","8156","16.8300","6543368860.0000","8.5300"
"000100","2021-12-31","0","1","10517","16.1400","8772389079.0000","5.3600"
"000151","2016-12-31","0","1","87","21.4800","77693381.2700","4.4000"
"000151","2017-12-31","0","1","95","27.7000","66560353.1300","2.9900"
"000151","2018-12-31","0","1","96","23.7000","59244550.9600","4.6600"
"000151","2019-12-31","0","1","106","31.9200","59200031.4000","5.0000"
"000151","2020-12-31","0","1","106","35.0900","53030232.7100","6.7900"
"000151","2021-12-31","0","1","121","10.4900","64788381.4600","3.0000"
"000153","2011-12-31","0","1","","","24133831.6000",""
"000153","2012-12-31","0","1","","","22271700.0000","1.3400"
"000153","2013-12-31","0","1","","","28987000.0000","1.8900"
"000153","2014-12-31","0","1","","","30138600.0000","1.7700"
